省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
山东省,济南市,历城区,山东黄金,山东黄金矿业股份有限公司,金矿开采,3850362,120020,3.10%,山东黄金(600547),山东省济南市舜华路2000号舜泰广场3号楼,山东省济南市舜华路2000号舜泰广场3号楼,www.sdhjgf.com,2003/8/28
山东省,济南市,历城区,鲁信创投,鲁信创业投资集团股份有限公司,工业机械,15334,30158,196.70%,鲁信创投(600783),山东省淄博市高新技术产业开发区裕民路129号,山东省济南市经十路9999号黄金时代广场C座4层,www.600783.cn,1996/12/25
山东省,济南市,历城区,鲁银投资,鲁银投资集团股份有限公司,钢铁,101551,-22,0.00%,鲁银投资(600784),山东省济南市经十路20518号,山东省济南市经十路10777号东楼26-30层,www.luyin.cn,1996/12/25
山东省,德州市,乐陵市,金麒麟,山东金麒麟股份有限公司,汽车零配件（IV）,111586,17066,15.30%,金麒麟(603586),山东省乐陵市阜乐路999号,山东省乐陵市阜乐路999号,www.chinabrake.com,2017/4/6
山东省,青岛市,崂山区,青岛金王,青岛金王应用化学股份有限公司,通用化工品,323833,44808,13.80%,青岛金王(002094),山东省青岛即墨市青岛环保产业园,山东省青岛市崂山区香港东路195号上实中心T3楼15、16楼,www.chinakingking.com,2006/12/15
山东省,青岛市,崂山区,汉缆股份,青岛汉缆股份有限公司,电子电气组件与设备,335174,25574,7.60%,汉缆股份(002498),山东省青岛市崂山区九水东路628号,山东省青岛市崂山区九水东路628号,www.hanhe-cable.com,2010/11/9
山东省,青岛市,崂山区,特锐德,青岛特锐德电气股份有限公司,电子电气组件与设备,380180,8789,2.30%,特锐德(300001),山东省青岛市崂山区松岭路336号,山东省青岛市崂山区松岭路336号,www.qdtgood.com,2009/10/30
山东省,青岛市,崂山区,华仁药业,华仁药业股份有限公司,制药,91421,3721,4.10%,华仁药业(300110),山东省青岛市高科技工业园株洲路187号,山东省青岛市高科技工业园株洲路187号,www.qdhuaren.com,2010/8/25
山东省,青岛市,崂山区,城市传媒,青岛城市传媒股份有限公司,出版业,135630,18330,13.50%,城市传媒(600229),山东省青岛市市南区香港中路67号,山东省青岛市崂山区海尔路182号,www.citymedia.cn,2000/3/9
山东省,青岛市,崂山区,青岛海尔,青岛海尔股份有限公司,耐用消费品,11918961,758832,6.40%,青岛海尔(600690),山东省青岛市崂山区海尔工业园内,山东省青岛市崂山区海尔信息产业园内,www.haier.com,1993/11/19
山东省,青岛市,崂山区,新华锦,山东新华锦国际股份有限公司,服装与服饰,98691,10588,10.70%,新华锦(600735),山东省青岛市崂山区秦岭路18号,山东省青岛市崂山区松岭路127号,--,1996/7/26
山东省,青岛市,崂山区,利群股份,青岛利群百货集团股份有限公司,百货零售,776202,38100,4.90%,利群股份(601366),山东省青岛经济技术开发区香江路78号,山东省青岛市崂山区海尔路83号,www.liqundepartmentstore.com,2017/4/12
山东省,青岛市,崂山区,康普顿,青岛康普顿科技股份有限公司,汽车与零配件（II）,69246,12693,18.30%,康普顿(603798),山东省青岛市崂山区深圳路18号,山东省青岛市崂山区深圳路18号,www.copton.com.cn,2016/4/6
山东省,青岛市,崂山区,中鲁B(200992),,{d1},{d2},#VALUE!,中鲁B(200992),山东省青岛市崂山区苗岭路29号,山东省青岛市崂山区海尔路65号招行财富大厦,,,
山东省,烟台市,莱州市,登海种业,山东登海种业股份有限公司,农业与渔业,49365,8813,17.90%,登海种业(002041),山东省莱州市农科院城山路西侧,山东省莱州市城山路农科院南邻,www.sddhzy.com,2005/4/18
山东省,烟台市,莱阳市,龙大肉食,山东龙大肉食品股份有限公司,食品生产（IV）,454275,16893,3.70%,龙大肉食(002726),山东省莱阳市食品工业园,山东省莱阳市食品工业园,www.longdameat.com,2014/6/26
山东省,烟台市,莱阳市,鲁亿通,山东鲁亿通智能电气股份有限公司,电子电气组件与设备,18941,1997,10.50%,鲁亿通(300423),山东省莱阳市龙门西路256号,山东省莱阳市龙门西路256号,www.luyitong.com,2015/2/17
山东省,烟台市,莱山区,东方海洋,山东东方海洋科技股份有限公司,农业与渔业,58650,8593,14.70%,东方海洋(002086),山东省烟台市莱山区澳柯玛大街18号,山东省烟台市莱山区澳柯玛大街18号,www.yt-fishery.com,2006/11/28
山东省,烟台市,莱山区,杰瑞股份,烟台杰瑞石油服务集团股份有限公司,采油设备与服务,204854,1383,0.70%,杰瑞股份(002353),山东省烟台市莱山区杰瑞路5号,山东省烟台市莱山区澳柯玛大街7号,www.jereh.com,2010/2/5
