省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
四川省,成都市,高新区,盛和资源,盛和资源控股股份有限公司,有色金属,397388,50454,12.70%,盛和资源(600392),,山西省太原市高新技术产业开发区亚日街2号,四川省成都市高新区盛和一路66号城南天府7楼,www.scshre.com,2003-5-29
四川省,成都市,高新区,西部建设,中建西部建设股份有限公司,建材与构件,1033629,16025,1.60%,西部建设(002302),,新疆维吾尔族自治区乌鲁木齐市经济技术开发区泰山路268号,四川省成都市高新区交子大道177号中海国际中心B座22楼,cwcg.cscec.com,2009-11-3
四川省,成都市,高新区,汇源通信,四川汇源光通信股份有限公司,通讯设备,28843,-58,-0.20%,汇源通信(000586),,四川省成都市高新西区西芯大道5号,四川省成都市高新区吉泰三路8号(新希望国际C座)1栋1单元15层07-08号,www.schy.com.cn,1995-12-20
四川省,成都市,高新区,浩物股份,四川浩物机电股份有限公司,工业机械,44277,3626,8.20%,浩物股份(000757),,四川省内江市市中区甜城大道经济技术开发区,四川省成都市高新区天晖中街56号曙光国际大厦1栋20层2028号,www.hwgf757.com,1997-6-27
四川省,成都市,高新区,泰合健康,成都泰合健康科技集团股份有限公司,建材与构件,40615,120,0.30%,泰合健康(000790),,四川省成都高新区（西区）蜀新大道1168号2栋1楼101号,四川省成都市高新区蜀新大道1168号,www.huasungrp.com,1998-3-27
四川省,成都市,高新区,长城动漫,长城国际动漫游戏股份有限公司,互联网,15793,1733,11.00%,长城动漫(000835),,四川省成都市高新区紫薇东路16号,四川省成都市高新区天府大道北段1700号新世纪环球中心E5区E9层3-2-1412,www.000835.com,1999-6-25
四川省,成都市,高新区,海特高新,四川海特高新技术股份有限公司,运输服务,31064,1434,4.60%,海特高新(002023),,四川省成都市高新区高朋大道21号,四川省成都市高新区科园南路1号,www.schtgx.com,2004-7-21
四川省,成都市,高新区,雅化集团,四川雅化实业集团股份有限公司,特种化工品,168725,23955,14.20%,雅化集团(002497),,四川省雅安市经开区永兴大道南段99号,四川省成都市高新区天府四街66号航兴国际广场1号楼,www.scyahua.com,2010-11-9
四川省,成都市,高新区,红旗连锁,成都红旗连锁股份有限公司,一般零售业,521462,16603,3.20%,红旗连锁(002697),,四川省成都市高新区西区迪康大道七号,四川省成都市高新区西区迪康大道七号,www.hqls.com.cn,2012-9-5
四川省,成都市,高新区,久远银海,四川久远银海软件股份有限公司,软件,35242,6409,18.20%,久远银海(002777),,四川省成都市高新区科园一路3号2幢,四川省成都市高新区科园一路3号2幢,www.yinhai.com,2015-12-31
四川省,成都市,高新区,帝王洁具,四川帝王洁具股份有限公司,家具,36127,3660,10.10%,帝王洁具(002798),,四川省成都市简阳市贾家镇工业开发区,四川省成都市高新区天府大道中段天府三街19号新希望国际大厦A座15层,www.monarch-sw.com,2016-5-25
四川省,成都市,高新区,富森美,成都富森美家居股份有限公司,建材与构件,95739,58818,61.40%,富森美(002818),,四川省成都市蓉都大道将军路68号,四川省成都市高新区天和西二街189号,www.fsmjj.cn,2016-11-9
四川省,成都市,高新区,迈克生物,四川迈克生物科技股份有限公司,医药与生物科技,135644,37725,27.80%,迈克生物(300463),,四川省成都市高新区百川路16号,四川省成都市高新区安和二路8号,www.makerbio.com,2015-5-28
四川省,成都市,高新区,爱乐达,成都爱乐达航空制造股份有限公司,航空航天,7326,4175,57.00%,爱乐达(300696),,四川省成都市高新区西部园区天勤路819号,四川省成都市高新区西部园区天勤路819号,www.cdald.com,2017-8-22
四川省,成都市,高新区,四川路桥,四川路桥建设集团股份有限公司,建筑施工,2149347,57420,2.70%,四川路桥(600039),,四川省成都市高新区高朋大道11号科技工业园F-59号,四川省成都市高新区九兴大道12号,www.scrbc.com.cn,2003-3-25
四川省,成都市,高新区,通威股份,通威股份有限公司,农业与渔业,1961340,195520,10.00%,通威股份(600438),,四川省成都市高新区天府大道中段588号,四川省成都市高新区天府大道中段588号通威国际中心,www.tongwei.com.cn,2004-3-2
四川省,成都市,高新区,蓝光发展,四川蓝光发展股份有限公司,不动产投资开发,1088848,73379,6.70%,蓝光发展(600466),,四川省成都市高新区（西区）西芯大道9号,四川省成都市高新区（西区）西芯大道9号,www.brc.com.cn,2001-2-12
四川省,成都市,都江堰市,岷江水电,四川岷江水利电力股份有限公司,电力（IV）,55978,6775,12.10%,岷江水电(600131),,四川省阿坝藏族羌族自治州汶川县草坡乡下索桥,四川省都江堰市奎光路301号,www.mjsdgs.com,1998-4-2
四川省,成都市,成华区,大通燃气,四川大通燃气开发股份有限公司,燃气供应,33044,1106,3.30%,大通燃气(000593),,四川省成都市建设路55号,四川省成都市建设路55号华联东环广场10层,www.dtrq.com,1996-3-12
